vendorid,drivertip,mtatax,distance,numpassengers,tollamount,paymentmethod,ratecode,storedflag,extracharges,totalamount,deliv_time_spent
1.0,1.83,0.5,0.7,1.0,0.0,1.0,1.0,N,1.0,9.13,5.35
2.0,3.56,0.5,4.64,1.0,0.0,1.0,1.0,N,1.0,21.36,16.5
2.0,1.5,0.5,1.29,2.0,0.0,1.0,1.0,N,0.0,8.8,6.283333333333333
2.0,1.5,0.5,2.74,1.0,0.0,1.0,1.0,N,0.0,14.8,16.133333333333333
2.0,0.0,0.5,0.45,6.0,0.0,2.0,1.0,N,0.0,4.8,2.7
1.0,1.05,0.5,0.4,1.0,0.0,1.0,1.0,N,0.0,5.35,1.9333333333333333
2.0,2.46,0.5,1.72,3.0,0.0,1.0,1.0,N,0.0,14.76,16.033333333333335
1.0,5.95,0.5,8.8,1.0,0.0,1.0,1.0,N,0.0,35.75,28.666666666666668
1.0,0.0,0.5,1.2,2.0,0.0,2.0,1.0,N,0.5,8.8,8.066666666666666
1.0,0.0,0.5,17.0,2.0,5.76,2.0,2.0,N,4.5,63.06,38.13333333333333
2.0,2.58,0.5,1.54,1.0,0.0,1.0,1.0,N,1.0,12.88,10.5
1.0,1.25,0.5,0.7,1.0,0.0,1.0,1.0,N,0.5,7.55,4.45
2.0,1.3,0.5,0.59,1.0,0.0,1.0,1.0,N,1.0,8.6,5.65
1.0,2.65,0.5,1.9,1.0,0.0,1.0,1.0,N,0.0,15.95,16.9
1.0,1.55,0.5,1.3,1.0,0.0,1.0,1.0,N,1.0,9.35,4.7
2.0,0.0,0.5,6.95,1.0,5.76,1.0,1.0,N,0.0,29.06,18.75
2.0,0.0,0.5,1.17,1.0,0.0,2.0,1.0,N,0.5,7.8,6.083333333333333
1.0,0.0,0.5,1.6,1.0,0.0,2.0,1.0,N,0.0,10.3,12.4
2.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,N,1.0,8.3,4.516666666666667
1.0,0.0,0.5,2.2,1.0,0.0,2.0,1.0,N,0.0,11.8,13.15
2.0,1.0,0.5,1.73,1.0,0.0,1.0,1.0,N,1.0,11.3,10.283333333333333
2.0,4.0,0.5,8.92,3.0,5.54,1.0,1.0,N,0.0,38.84,27.366666666666667
1.0,0.95,0.5,0.4,1.0,0.0,1.0,1.0,N,0.0,5.75,2.8666666666666667
1.0,3.0,0.5,2.3,1.0,0.0,1.0,1.0,N,0.0,15.3,14.266666666666667
1.0,1.03,0.5,1.9,1.0,0.0,1.0,1.0,N,1.0,11.33,9.233333333333333
2.0,1.96,0.5,1.17,2.0,0.0,1.0,1.0,N,1.0,11.76,9.816666666666666
1.0,4.0,0.5,9.9,1.0,5.76,1.0,1.0,N,0.0,40.06,28.1
2.0,2.82,0.5,0.89,2.0,0.0,1.0,1.0,N,0.0,14.12,16.716666666666665
2.0,0.0,0.5,4.6,4.0,0.0,2.0,1.0,N,1.0,29.3,45.15
1.0,0.22,0.5,2.6,1.0,0.0,1.0,1.0,N,0.0,15.02,19.166666666666668
1.0,2.45,0.5,1.3,1.0,0.0,1.0,1.0,N,0.0,14.75,17.733333333333334
2.0,6.46,0.5,10.15,1.0,0.0,1.0,1.0,N,0.0,38.76,27.983333333333334
1.0,5.0,0.5,9.7,1.0,0.0,1.0,1.0,N,0.0,40.8,37.46666666666667
1.0,0.0,0.5,1.8,1.0,0.0,2.0,1.0,N,0.0,15.3,22.316666666666666
2.0,3.06,0.5,1.76,1.0,0.0,1.0,1.0,N,0.0,18.36,22.7
1.0,2.85,0.5,3.2,1.0,0.0,1.0,1.0,N,0.5,17.15,13.233333333333333
1.0,1.45,0.5,1.4,1.0,0.0,1.0,1.0,N,0.0,8.75,5.983333333333333
2.0,0.0,0.5,0.54,1.0,0.0,2.0,1.0,N,0.0,7.3,8.6
1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,N,0.5,6.3,2.8
2.0,1.0,0.5,4.02,1.0,0.0,1.0,1.0,N,0.0,22.3,29.583333333333332
1.0,1.25,0.5,0.7,1.0,0.0,1.0,1.0,N,0.5,7.55,4.666666666666667
2.0,2.19,0.5,1.5,5.0,0.0,1.0,1.0,N,0.5,9.49,4.35
2.0,0.0,0.5,2.96,5.0,0.0,2.0,1.0,N,0.0,14.8,19.166666666666668
2.0,0.0,0.5,1.1,3.0,0.0,2.0,1.0,N,0.0,7.8,7.066666666666666
1.0,0.0,0.5,0.5,1.0,0.0,2.0,1.0,N,0.0,5.3,3.5
1.0,0.0,0.5,2.5,2.0,0.0,2.0,1.0,N,0.0,10.3,8.183333333333334
2.0,1.76,0.5,1.31,2.0,0.0,1.0,1.0,N,0.0,10.56,9.983333333333333
1.0,1.55,0.5,1.0,1.0,0.0,1.0,1.0,N,0.5,9.35,7.05
2.0,5.46,0.5,2.36,1.0,0.0,1.0,1.0,N,0.0,32.76,46.96666666666667
1.0,1.0,0.5,0.9,1.0,0.0,1.0,1.0,N,0.0,8.3,6.883333333333334
2.0,0.0,0.5,0.99,1.0,0.0,2.0,1.0,N,0.0,7.8,9.6
2.0,0.75,0.5,0.81,3.0,0.0,1.0,1.0,N,0.0,6.05,2.75
2.0,0.0,0.5,1.6,6.0,0.0,2.0,1.0,N,1.0,12.3,14.266666666666667
2.0,0.0,0.5,0.44,1.0,0.0,2.0,1.0,N,0.5,4.8,2.0
1.0,1.65,0.5,0.8,2.0,0.0,1.0,1.0,N,0.0,9.95,9.666666666666666
2.0,2.32,0.5,1.19,1.0,0.0,1.0,1.0,N,0.5,11.62,9.766666666666667
1.0,0.0,0.5,1.2,1.0,0.0,2.0,1.0,N,1.0,9.8,9.8
1.0,0.0,0.5,1.0,1.0,0.0,2.0,1.0,N,0.0,7.8,7.95
2.0,2.2,0.5,1.39,1.0,0.0,1.0,1.0,N,0.5,11.0,7.95
2.0,1.36,0.5,0.59,1.0,0.0,1.0,1.0,N,0.0,8.16,7.233333333333333
1.0,3.2,0.5,3.0,3.0,0.0,1.0,1.0,N,0.5,16.0,11.066666666666666
2.0,0.0,0.5,2.34,1.0,0.0,2.0,1.0,N,0.0,11.8,12.816666666666666
